Dang's Thai Restaurant|P. D. Kittisak|(01366)388147||
Mr. G. Milton||(01485)600216||
System Three Business Solutions Ltd||(01553)636702||
||||
Mr. R. Molyneux||(01485)520272||
North Wootton Village Hall||||
West Norfolk Rugby Club||(01553)631307||
Hansatech Instruments Ltd||(01760)338877||
South Wootton Parish Council||||
Woodlands Residential Home||(01553)672076||
||||
||||
Eagles Golf & Tennis Centre Ltd||(01553)827147||
Burman House||(01945)880464||
||||
K.G.B. Transport Ltd||(01945)880717||
Terrington St. Clement Village Hall|||(01553)829509|
William Burt Social Club||(01553)841542||
West Winch Village Store|Mr P Patel|(01553)840243||
||||
C. H. Cook (Wisbech) Ltd||(01945)583549||
Youth Hostel Association||(01485)532061||
||||
Mr S W Nunn|Mr S W Nunn|(01485)533049||
AMG Leisure Ltd|Mr T Bowman|(07854)516744||
Paris Print & Design||||
Krusty Loaf Ltd|Mr P S Henry|(01485)533457||
||||
Borough Council of KL&WN||(01485)535150||
East Of England  Ambulance NHS Trust||||
Lincoln Lodge|Brian James Poore|(01485)534570||
China Garden House||(01485)532023||
The Northgate Indian Restaurant||(01485)535005||
Caley Hall Hotel Ltd|Arran & Jo Jamieson|(01485)533486||
||||
||||
Vegas Amusements Arcade|Mr. S. W. Nunn|(01485)533049||
Triangle Amusements Ltd|||(01485)532340|
||||
Borough Council of King's Lynn & West Norfolk|Nicola Rippengill|(01485)535937||
||||
||||
Drs. Machin & Thorpe||(01485)532859||
Borough Council of King's Lynn & West Norfolk||(01485)532516||
||||
Burnham Market Dental Surgery|Dr N S Amin|(01328)738525||
M. Stubbings Ltd||(01328)730668||
Brancaster Staithe Village Hall||(01485)210544|(01485)210255|
Mr A Howell|||(01328)738230|
S & S (Chemists) Ltd||(01328)738215||
Grooms Bakery|John Robert Groom|(01328)738229||
||||
Burnham Motors Garage Ltd||(01328)738387||
Gurney Seafoods Ltd|Mike Gurney|(01328)738967||
White Horse Public House|John McKlusky - Licensee|(01485)210262||
Braemar Caravan Site|Mr. R. E. Loose|(01485)210312||
||||
Royal West Norfolk Golf Club||(01485)210087||
||||
||||
The Old Lifeboat Caravan Park Ltd|Mr. C. S. Polito|(01328)730802||
||||
Eloise Ltd of The Hero Caravan Park|Mr W & Mrs M Quantrill|(01328)738334||
Dersingham Village Social Club|Mrs D Valentine|(01485)540466||
Dersingham Parochial Church Council||(01485)540857||
Bircham Sports & Social Club||||
||||
Torc Motors||||
Norfolk County Council||(01603)222769||
The White Horse Public House|Mr. J. King|(01485)525512||
West Norfolk Hotel|Andrew Lake|(01485)570348||
Rebecca Court||(01485)570421||
||||
Great Wall Chinese Take-Away Ltd|Mr. Koon Fat Mo|(01485)571046||
The Dogotel|Mr & Mrs D Nicholls|(01485)520346||
Mr G Oldfield|Mr G Oldfield||(01485 )518449|
M. Shanks||(01485)540791||
Norfolk Constabulary||||
David Rust Carpets||(01328)855517||
||||
Mr D G Crown||(01485)518671||
Snettisham Memorial Hall||(01485)541947||
Sandringham Social Club||||
Harpley  V.C.Primary School||(01485)520274||
||||
Gt. Massingham CEVC Primary School||(01485)520362||
||||
Sedgeford County First School|Mrs Margaret Powell-Bowns|(01485)570997||
||||
Pott Row First School||(01485)600356||
||||
Snettisham Primary School||(01485)541274||
||||
Tilney St. Lawrence C. P. School|Headteacher: Mrs. Carolyn Howard|(01945)880405||
||||
East Winch Primary School|Mr Lee Stevens (Headteacher)|(01553)840494||
||||
North Wootton Pre-School||(01553)675761||
||||
Wiggenhall St. Mary Magdalen C.P. School||(01553)810326||
||||
||||
Greyfriars Primary School||(01553)773087||
||||
||||
Clenchwarton C..P. School||(01553)775035||
||||
||||
||||
West Walton Community Primary School|Jill Davis (Headteacher)|(01945)583620|(01945)532485|
||||
||||
Whitefriars C. E. School|Philip Aelberry|(01553)761001||
||||
||||
Burnham Market Primary School||(01328)738354||
||||
Castle Acre C.of E.VC School||(01760)755305||
||||
St. Georges CE Junior School||(01485)540308||
||||
Churchill Park School||(01553)763679||
||||
||||
Grimston Junior School||(01485)600241||
||||
Terrington St. Clement Primary School||(01553)828348||
||||
||||
St. Germans Primary School||(01553)617246||
||||
Brancaster C.E.V.A. Primary School||(01485)210246||
||||
Lodge Cottage Nursery School|Mrs. Joanna Hammond|(01553)631263||
D. & M. Thorpe||(01945)772623||
Mrs Hui Zhen Su||(01366)382888||
Norfolk County Council  (Social Services)||(01366)382911||
Mr. S. Gibbs||(01366)385241||
Hockwold Village Club & Institute||(01842)827226|(01842)828840|
Downham Market Ex-Servicemans Club Ltd||(01366)382246||
Costcutter Stores|Mr J Khattra & Mrs D Khattra|(01366)377317||
High Haven Residential Home|Joanne Bolton|(01366)382205||
Hylton Gott Ltd||(01366)383352||
Feltwell Golf Club||(01842)827644||
Watlington Village Hall||(01553)810584||
Mr. P. McManus||(01366)382229||
||||
Mr. M. C. Stewart||(01366)386666||
Central Garage|M.D. & R. W. Pohl|(01842)827094||
C E Management Ltd|Man Ho Pang (Director)|(01366)387085||
Borough Council of KL&WN||||
The New Inn|Mr. Carl King|(01842)828668||
Drs Scott, Gent, Holmes, Wearmouth & Hohnsbein||(01366)388888||
Borough Council of KL&WN|Harold Wolstanholme|(01553)765565||
||||
Kenneth Bush Solicitors||||
Able Engineering Ltd||(01553)691870||
The Park High School||(01553)774671||
||||
West Norfolk Travel Ltd|Mr W D Irwin (Director)|(01553)778910||
Sue Ryder Foundation||(01366)386762||
Norfolk Pub Company Ltd||(01328)738321||
Goblins Pantry Ltd|Sandy Pope|(01485)532925||
Borough Council of King's Lynn & West Norfolk||(01553)818001||
||||
||||
Thain Wildbur||(01553)772680||
Burrells Chartered Accountants|Mr S J Burrell|(01485)540295||
||||
Russen & Turner||(01553)768187||
NCC Social Services Department||(01553)672753||
||||
Broste Ltd||(01553)776066||
Cruso & Wilkin||(01553)691691||
Kenneth Bush Solicitors||(01553)692233|(07977)156226|
Wimbotsham County Primary School||(01366)382336||
||||
||||
Create & Style Ltd|Mrs. L. D. Howe|(01553)762907||
Kirby & Haslam Ltd||(01553)761316||
Hong Kong House|Mr Fuk Man Chu|(01553)765605||
Ingoldisthorpe C of E Primary School||(01485)541402||
||||
Abbeyfield King's Lynn Society Ltd||(01553)772075||
Eastern Sea Fisheries Joint Committee|Mrs C M Hurley (Finance Officer)|(01553)775321||
Nationwide Building Society||(01485)403900||
Driving Standards Agency||(08448)920343|(01553)763508|
||||
Calvert, Brain & Fraulo Ltd||(01553)766220||
The Burnhams Surgery|Mr. Pat Layton (Practice Manager)|(01328)737000||
||||
Borough Council of King's Lynn & West Norfolk|Phillip Bayfield/Ellen McPhillips|(01553)779096||
||||
||||
Heacham Group Practice||(01485)572769||
Rudham C of E Primary School|Mrs S Lunnan (Headteacher)|(01485)528230||
||||
Terrington St John V C Primary School||(01945)880340||
||||
Borough Council of King's Lynn & West Norfolk|Nicola Almey Parish|(01485)535150||
||||
Hunstanton Town Council|Mrs Lisa J Powell - Town Clerk|(01485)532402||
||||
Eastcote  Caravan Park|Mr. & Mrs. J. Bettison|(01328)738873||
||||
Moss & Leakey|David Foskett (Partner)|(01603)661001|(01553)765270|
Ashwicken V A First School||(01553)630352||
||||
Tilney All Saints V C School||(01553)828209||
||||
||||
Mrs S J Scarrott||(01366)728238||
Linksway Country House Hotel|Mr. R. Pedel|(01485)532209||
Kwai's Cuisine||(01553)670900||
Connexions||(01603)227074|(01553)666500|
||||
Impactbond Ltd-||(01553)692505||
Farmhouse Butchers|Mr. D. Baynham|(01485)543798||
Mrs R  Parkin||(01485)570212|(01485)534768|
Norman C. E. Primary School||(01366)728241||
||||
Vision Express King's Lynn Ltd||(01553)775445||
Tropics Fish Bar|Keith and Michelle Green|(01485)543842||
The Green Lodge Restaurant|Mrs S Fox|(07917)716395||
Downham Tandoori Ltd|Mr Anwar Ali (Owner)|(01366)386110||
Manor Farm Cottages & Thornham Developments|Mr. M. C. Goddard|(01485)512272||
Southery Primary School||(01366)377205||
||||
Templeman Associates Ltd|G. Templeman|(01553)776148||
The National Trust Office|Mrs. Susan Falch-Lovesey|(01485)210719||
||||
Stotts Fish & Chip Shop|Mr. James Ralph Stott|(01945)772345||
Flitcham Primary School|Angela Eden (Head Teacher)|(01485)600383||
Mr. C. Sussams|Colin Sussams|(01945)880952||
Titchwell Manor Hotel & Restaurant|Mr. & Mrs. I. Snaith|(01485)210221||
||||
N.C.C. Social Services|Rebecca Shanahan|(01553)679233||
South Wootton First School|Mrs Carol Mahony (Headteacher)|(01553)671552||
||||
||||
Foxvale Properties Ltd|Mr. W. Kitt|(01582)666234|(01485 543973)|
||||
Paul Johnson Motor Engineers Ltd||(01553)691742||
Mr T. G. Walters||(01485)542425||
English Heritage||(01223)582700||
Lord Howard of Rising|Greville Howard|(01553)631556||
South Wootton G.M. Junior School||(01553)674596||
||||
||||
Giles Bros||(01553)772376||
Watlington Medical Centre|Mrs P Ash|(01553)810253||
||||
Dezynadog|Miss A L Flatt|(01553)816400||
Master Ltd||(01485)572032||
King's Lynn Mobility Centre Ltd||(01553)768751||
Torc Financial Services|Stephen J. Hammond (Principal)|(01485)544434||
Le Strange  Arms Hotel|Anne Wylie|(01485)534411||
North End Trust||(01553)770479||
||||
D. Cook (Butchers)||(01485)572104||
Dragon Capital|Miss W Lai|(01553)662888||
Hocus Pocus|Mr. N. Cook|(01553)767285||
Flitcham Community Centre|||01485 600703|
K.L.S. (UK) Ltd|Robert Kitchingham|(01553)772935||
Norfolk County Services||||
Queen Victoria Public House|Mr. R Warburton|(01485)541344||
Mrs. J. M. Kerr||(01485)542480||
Vehicle & Operator  Services Agency||(01366)382481||
Parker & Leach Opticians||(01485)532326||
East Of England  Ambulance NHS Trust|||(01366)388340|
Norfolk County Council||(01366)383073|(01366)383073|
The Drive Residential Home Ltd||(02083)081607|(01485)541977|
Dr. C. J. Bird||(01553)769143||
The Party Shop & Balloon World|Mrs. S. A. Futter|(01553)760909||
Green Quay Trust|Micheal Dennis|(01553)818500||
||||
||||
||||
Gaywood Conservative Club Ltd|Mr. G. Colby|(01553)772055||
||||
Silverfern Property Management Co. Ltd|Dr D J Best (Director)||(01553)773302|
Denver Windmill Ltd||(01366)384009||
||||
Norse Commercial Services||(01603)864100|(01553)766872|
Huggins National Windscreens (Ipswich) Ltd|||(01553)691666|
F. J. Chalcroft (Construction) Ltd||(01386)561965|(01553)776543|
Southgates Medical & Surgical Centre||(01553)819460||
||||
Staveley Johnson & Procter Solicitors||(01485)532662||
||||
Istanbul Kebab House|Faik Oter|(01553)775833||
Sue Ryder Foundation|||(01485)534414|
Fairstead Area Neighbourhood Group||(01553)692400||
Walpole Highway C.P. School|Mr. M. Coates - Headteacher|(01945)880329||
||||
The Neptune Inn|Mr & Mrs K Mangeolles|(01485)532122||
Elm Dental Laboratory|Mr. P. Smith|(01945)582158||
Jeff Sutton|Mrs W Sutton|(01553)765224||
Oriental Chef|Miss Wai  Peng  Chooi|||
Lai-King House|Mr Wai Chi Cheng & Mrs Sui Lai Tse|(01553)772029||
Heacham Bakery|B. Howell|(01485)571774||
The Fox & Hounds Public House|Mr. M. Bristow|(01485)570345||
||||
Sensitised Coatings Ltd|David Eatwell|(01553)764863||
Unisate Ltd T/As Essex Shoe Repairs Ltd||||
The Salvation Army||(01553)774163||
South Wootton Take-away|David Lee|(01553)674684||
One-Six-One Residential Care Home|Ken & Jane Orford|(01553)676004||
Burnham Overy Boathouse Ltd|Mrs. Carol Coutanche|(01328)738348||
Pentney House Gifts|Gloria Hurn|(01328)738267||
Bridgets Flowers|Bridget Nurse|(01553)771089||
Norfolk County Council|David Williams|(01603)222717||
Anchorage Barn Veterinary Clinic|Marcel Florax M.R.C.V.S.|(01485)528221||
Chilli Masters||(01553)765755||
Mr. C. Napolitano||(01553)773040||
R.A.O.B. Club||(01553)762725||
Mr. A. A. Schumann||(01553)762285||
NCH||(01553)761267||
Hunstanton & District Water Sports Club|J Wiles|(01733)707100||
West Norfolk Professional Development Centre||(01553)766872||
||||
Mrs. D. R. Ray||(01778)343644||
||||
Anglers Corner||(01553)775852||
King's Lynn Nursery School|Pauline Bradshaw|(01553)760221||
||||
Cats Whiskers Boarding Cattery|Mr R Fairbanks|(01366)337493||
Gayton C.of E. V. C.  School||(01553)636267||
||||
Mrs. J. Nash||(01553)762234||
Jolly Farmers Public House|Heather Allen|(01328)738185||
North Wootton Community School||(01553)672385||
||||
||||
Top Grill|Nasir Sekercioglu & Emin Lika|(01553)692286||
Sunnyside Veterinary Clinic|Mr. J. Kirkland MRCVS|(01485)600022||
Rudham & District Village Hall||(01485)528356|(01485) 528356|
Beaupre Community Primary School||(01945)772439||
||||
Phoenix Montessori Nursery (West Norfolk) Ltd|Mrs. C. Harris|(01553)829813||
||||
Grimston Church Hill County First School||(01485)600342||
||||
Marham Chinese Takeaway Ltd|Guan Chao Chen|(01760)337461||
Mr P Mallam t/as TRS Catering||(07860)313707||
Little Acorns Day Nursery|Mrs. Carrie Maris|(01945)780015||
Abbotts Estate Agents||(01485)533148||
Runcton Holme C.E.V.A. Primary School||(01553)810394||
||||
Youngsters World Toy Shop|John Harrison|(01553)766576||
Millfleet Off Licence|Mr. Sukru Uzun|||
Walpole Cross Keys Primary School||(01553)828680||
||||
B Karlsson Dental Practice||(01553)767790||
Mr. Snippers & Sizzers Hair Design|Mr C King|(01553)773732||
Wootton Fish Bar|Mr Christopher Hobbs|(01553)675747||
Crown & Anchor Public House|Mr P Dale|(01553)617340||
Mr P Joyce||(01485)600268||
||||
Meridian East||(01603)750165||
Dr. S M Ahmed||(01553)772063||
||||
Ian Mason Contractors||(01485)600496||
Natural England||(01485)543044||
Heacham Club Ltd|D. Close - Administrator|(01485)570776||
||||
St Edmunds Church||(01366)382942||
Beaupre Under 5's Centre|Kim Eggett|(01945)773004||
Mr. M. P. Wolfe|||(01553)772912|
||||
Brierville Caravan Site|E. C. Fenn|||
West Lynn C. P. School||(01553)772330||
||||
Fridham Rest Home|Mrs. H. Moore & Mrs. A. Bailey|(01485)571455||
William Marshall C.of E.Primary School||(01354)610212||
||||
||||
William Burt Centre||(01553)842217|(OI553)841542|
The Woottons Surgery|Drs Edris & Hopkin|(01553)631550||
Anna Park Ltd.||(01328)730325||
Prompt Response Ltd||(01485)518717||
Gaywood Community Primary School||(01553)774147||
||||
||||
 P. J. Kew Butchers|Mr R Cross|(01485)528236||
Nelson Business Centre Ltd|Mr Clive Roffe|(01493)700205||
Utility Savings Corporation Ltd||(08707)508300||
||||
Feltwell Lodge Residential Home|Mr P & Mrs S Hanley|(01366)727361||
||||
||||
C. E. Grimes Butchers||(01553)636244||
Law Company (Frozen Foods) Ltd|Mr K & Mrs C L Law|(01553)773507||
Scent with Love Floristry Designs|Mr N Cole|(01485)535568||
The Seventy One Club||||
Tasin Ltd|Mr Ali Tasin & Mr Mustafa Tasin|(01553)773033||
Leziate, Ashwicken & Bawsey Village Hall||(01553)630203|(01485) 600919|
Shoreside (Hunstanton) Ltd|Mr. Bassett/ R. Buck|(01485)533747||
Le Strange Old Barns|Miss A Maloney|(01485)533402||
North Lynn Discovery Ltd||(01553)772283||
School House Dental Laboratory|Mr P Johnson|(01553)762405||
Norfolk Primary Care Trust||(01553)769264||
||||
||||
||||
King's Lynn Conservancy Board|Paul Bailey|(01553)773411||
R. E. Gore Mobile Services||(01485)600289||
Heacham Group Practice||(01485)572769|(01485)541206|
Ermine Care Ltd|||(01945)430519|
||||
Malletts Solicitors||(01553)777744||
Hairtech (Wholesale)|Mr D Harvey|(01553)764818||
Tennyson Avenue Stores Ltd|Mr M Uddin|(01553)772136||
Mr R Gooderson||(01945)772481||
Drs. Nisbet, Hughes & Sagar||(01842)828481||
||||
Emneth Angling|Mr M J Asker|(01945)589920||
Mrs E Packer||(01485)600330||
Mr A Tursucu||(01945)773434||
Alderman Jackson School|Mrs Debby McCarthy (Headteacher)|(01553)672779||
||||
Mr & Mrs M J Dennis||(01953)860999||
||||
J D  Wetherspoon PLC|||(01553)668000|
Pisces Country Club|Mr J M Jones|(01354)610257||
||||
||||
Snettisham Beach Park|Mrs Sandie Hempsall|(01485)543763||
Gail's Chippy Ltd|Mrs G Wrigg|(01945)584916||
S Dass & Sons (Fashion Group)||(01945)584989||
Double Happiness Chinese Restaurant|Mr K C Lim|(01553)769400||
Sowerby's Ltd||(01485)533666||
||||
Premier Racquets & Fitness Ltd|Mr D Gill/Nicole Witton|(01485)571961||
||||
Sue Ryder Care||(01553)692895||
Capelli|Ms T A Eke|(07768)921174|(01553)692341|
The Methodist Church|Mr Rospopa (01553 767102)|||
Wigram & Ware Ltd||(01485)544850||
Coopers Mill Ltd|Mr B Lord|(01945)880020||
||||
West Newton Village Hall||(01485)544995||
Ffolkes Arms Hotel & Country Club|Mr & Mrs L C Bates|(01485)600210||
C R Rose Ltd|Mr C Rose|(01485)600281||
Richmond House Hotel|Mr D Hallas|(01485)532601||
Corkers Restaurants Ltd|Simon Alper|(01328)738241||
Jade Garden Chinese Takeaway|MR Jun Fen Huang|(01553)761248||
Agrilynk Ltd||(01553)764831||
John Bull Confectionery Ltd||(01262)678525|(01485)535146|
Fenland Express|Mr A Archibald|(01366)386663||
South Wootton Parish Council||(01553)671692||
Mrs J Eales t/as Badgers Cattery||(01945)780691||
Hunstanton Sailing Club||||
Monica Vinader Design Studio||(01485)512133||
Miss D Johnson||(01760)337239||
Silk Road Takeaway|Miss Yuen Shan Ho|(01328)738866||
Mr J Lee||(01553)774044||
Anglia Co-Operative Funerals||(01485)534171||
St Matthew Housing|||(01553)760348|
Stade Developments Ltd|Martin Hopson|(01283)500520|(01485)532556|
||||
Dukes Head Tham's Restaurant & Bar|Mr M F Tham|(01485)528628||
The Cornish Pasty Co Ltd|||(01553)764767|
Mrs C Buckland||(01553)829702||
P M Russell Butchers||(01945)773419||
Outwell Parish Council||(01945)774327||
The Coach & Horses Public House|Mrs S Roythorne|(01485)540391||
Good Earth Takeaway|Michael Wan 07788 712733|(01366)501163||
Holt & Company Auctioneers||(01485)542822||
Gerry's Pizza Takeaway|Mr Hop Fung Cheung|(01553)770100||
St Martin at Shouldham Primary School||(01366)347260||
||||
||||
C & R Cinema's Ltd||(01213)535061|(01553)774297|
||||
||||
Marham Parish Council|||(01760)338389|
Feltwell Chinese Takeaway|Mr Jian Q Yu|(01842)828740||
Mrs R M De Bootman||(01760)338797||
Anglia Country Inns Ltd|Heather Tidd - Manager|(01485)210314||
||||
||||
Mr  N Bailey||(01553)768923||
The White Hart Stores Public House|Mr R George|(01553)760034||
Carole Brown Health Centre||(01553)696811||
Tommy's Body Repairs|Mr A Haywood|(01553)776996||
M S P  Labels & Signs Ltd||||
Knicat Ltd||(01366)383708||
Porvair plc||(01553)765500||
||||
Hilgay Village VC School||(01366)387685||
||||
Amys Restaurant|Mr A S Huy|(01553)766656||
Castle Acre Stores|Mr & Mrs R Singh|(01760)755274||
||||
Chives Ltd||(01485)534771||
Mr D G Donger||(01553)679067||
Bakers Oven||(01159)703883||
B H I P Ltd||(08450)900192||
||||
Cloverleaf Cattery|Miss S Dickinson & Mrs D Dickinson|(01553)773228||
Outwell Post Office & Stores|Mr M Lindsay|(01945)772211||
Hunstanton Golf Club||(01485)532811||
Downham Country Garden Smartintore Ltd|Karen Willett|(01366)381190||
||||
King's Lynn Christian Fellowship||(01553)766333||
||||
||||
Mr D Lyles||(01485)518318||
Robin Legge Ltd||(01485)532878||
Mr T A Ringer||(01485)529375||
Norfolk Army Cadet Force||()694515||
Plumtree Mobile Home Park Ltd|Mr A J May|(01223)424280||
Integrated Nursing Homes Ltd|Mr Guatam Saraogi|(01753)643106|(01485)570349|
||||
Mrs M L Wong|Mai Ling Wong||(01553)673715|
||||
Burleigh House Hotel Ltd|Mr R Jenning|(01485)533080||
Ten Mile Bank C P School||(01366)377310||
||||
Navrady's of Upwell|Stephen Navrady|(01945)772398||
Downham Preparatory School||(01366)388066||
||||
||||
Mark Brister Decorators||(01485)535983||
Runcton Holme Social Club||||
Claws 'n' Paws Ltd|Glyn Osler|(01366)388952||
The Pine Centre|Mrs M Reeve|(01945)881033||
Rice Bowl House|Mr Y K Yau & Mr Y F Yau|(01553)764539||
Emneth Parish Council||(01553)810625||
Imalgo Ltd|Mr Siraj Hamdulay (Director)|(01553)671027||
||||
Freeman & Goodson Engineering Ltd|Carl Goodson|(01553)763931||
Mr Smith's Bakery|Mr S Smith|(01553)829944||
Supafry|Mr J Smith (Owner)|(01485)534565||
Downham Market Christian Fellowship|Sue Hubbard (Treasurer)|(01366)384474||
The Coffee Pot|Sharon Gage|(01485)535003||
The Gaultree Inn|Mr J R McCourt|(01945)474297||
Emneth Post Office & Stores|Mr R & Mrs C Rumbold|(01945)583892||
Curtis Butchers|Mr S J Curtis|(01945)583246||
The Norfolk Warehouse Ltd||(01328)738634||
Dr D M Hansell||(01366)382265||
Ruby & Tullulah|Mr W Spice|(01328)738638||
Silver Spoon Restaurant|Mr Akif Kaya|(01553)760057||
Mr A Runciman||(02076)635263||
Cobblestones|Mr D Kilvington|(01553)777709||
||||
||||
||||
||||
White House Bookshop|Miss Catherine Bennett|(01328)730270||
The Post Office|Mr R J Davies|(01328)738273||
||||
West Norfolk Citizen's Advice Bureau||(01553)763502||
Millennium Pizza & Fried Chicken|Mr Ulas Seske|(01366)385555||
Vancouver Childrens Centre|Annette McGivern|(01553)762805||
||||
King & Co.||(01522)525255||
Dr S Lim||(01553)768448||
Mr Pizza|Mr H Payam|(01553)692690||
Further Education National Consortium Ltd|Dick Castledine|(01553)779520||
Silk Road ll Ltd|Ms Yuen Shan Ho|(01485)572268||
||||
Downham Petroleum Co Ltd|Bizwas|(01366)386700||
Joules Ltd|David Ball|(01858)435263||
King George Vl School||(01485)578271||
||||
Emneth County Primary School||(01945)583885||
||||
East Midlands Newspapers Ltd|David Dixon|(01553)761188||
W Norman & Son Ltd||(01945)583130||
Magpie Security Services Ltd||(01553)691121||
Double D Pizza|Mr B Demirci|(01553)760009||
Grants Restaurant|Mr L  Philp (Proprietor)|(01553)760609||
Talking Heads|Miss J Wright|(01553)675039||
Rossiters Ltd||(01485)540000||
Fran's Pantry Fayre|Mrs F Goodwin|(01485)572220||
The Fish Shed|Mr S W Bocking|(01485)210532||
Mr A J Borthwick|Jason Borthwick|(01485)210036||
The Stock Shop Co. Ltd|Mark Mitzman|(01353)666322||
Hereward Care Services Ltd|Gina Tyner|(01733)233511|(01945)880877|
The Corner Shop|Mr Darren Ager & Mrs Zoe Ager|(01366)500317||
Heacham Parish Council||(01485)572142||
J C Hammond Ltd||(01485)570241||
North End Off Licence| Mr A & Mrs J Varatharajan|(01553)764797||
Snettisham Parish Council||(01485)543721||
