"CustomerID","Company Name","Address Name","Address Number","Street","Village","Town","County","Postcode","Customer Contact","Customer Tel","Debtors No","Bin Location",,,,,,,,,"Agreement No","Refuse/ Recycling/Glass School/School Recycling/Schd.2 Refuse/Schd.2 Rec.","Bin Size","Bin Quantity","Cedar Code Abbreviations","Collection Schedule 
(per bin)","Round/ Day",,,,,,,"Commencement Date","Cancellation Date"
,,,,,,,,,,,,,,,,,,,,,157616,"Recycling",660,1,"660-8, CWTN-2","Fortnightly emptying: except Xmas & New Year weeks","R3/WK2",,,,,,,26/08/09,
38,"Black Swan International Ltd","Chiswick House",3,"Christchurch Road",,"Norwich","Norfolk","NR2 2AD","CLIVE HILL Black Swan","01603 747409","EH1049182","Nightingale Lodge Residential Home",,8,"Austin Street",,"Hunstanton","Norfolk","PE36 6AL","01485 533590",124116,"Schd.2 Refuse",1100,1,"1100-1, CWTN-1","One empty per week",,,,,"T1",,,25/04/07,
,,,,,,,,,,,,,,,,,,,,,136789,"Schd.2 Rec",1100,1,"1100-12, CWTN-2","Fortnightly: except Xmas/New Year weeks",,"R2/WK1",,,,,,01/04/08,
39,"Lotus House",,04/06/09,"Hunstanton Road","Dersingham","King's Lynn","Norfolk","PE31 6HQ","Mr Peter Man Wai Lee","01485 540032","EH1007612",,,,,,,,,,119796,"Refuse",1100,1,"1100-1, CWTN-1","One empty per week",,,,,"T1",,,08/12/06,
56,"The Humble Pie",,,"The Green","Burnham Market","King's Lynn","Norfolk","PE31 8HE","Mrs S Elston","01328 738581","EH1103575",,,,,,,,,,985,"Refuse",360,1,"360-1,CWTN-1","One empty per week",,"D13",,,,,,04/11/97,
66,"The Old Bank Bistro","Market Square",10,"Lynn Road","Snettisham","King's Lynn","Norfolk","PE31 7LP","Lynn Handley",,"EH1091393",,,,,,,,,"01485 544080",945,"Refuse",1100,1,"1100-1, CWTN-1","One empty per week",,,,,"T1",,,01/07/97,
67,"Emneth Nursery School",,,"Hollycroft Road","Emneth","Wisbech","Cambs","PE14 8AY","Jill Wharton Headteacher","01945 582401","EH0942444",,,,,,,,,"01945 582401",88314,"Sch.Refuse",770,1,"770-3,770-4 x 48,DISC-1,CWTN-3","Weekly emptying except last 2 weeks August and 
Christmas and New Year weeks (48 empties p.a)",,,"D12",,,,,01/09/04,
,,,,,,,,,,,,,,,,,,,,,"131950R","Sch.Recyc",240,2,"240-10, CWTN -4","Fortnightly emptying except last 2 weeks August
and Christmas/New Year weeks (24 empties p.a.)",,,"R6/WK2",,,,,01/04/08,
,,,,,,,,,,,,,,,,,,,,,"131950R","Sch.Recyc",660,1,"660-10","Fortnightly emptying except last 2 weeks August
and Christmas/New Year weeks (24 empties p.a.)",,,"R6/WK2",,,,,01/04/08,
70,"Abbotts Countrywide",,16,"Bridge Street",,"Downham Market","Norfolk","PE38 9DH",,"01553 765146","EH0944460",,,,,,,,,,399,"Refuse",360,1,"360-1, CWTN-1","One empty per week",,"D9",,,,,,01/04/97,
78,"Wormegay V C Primary School",,,"Stoke Road","Wormegay","King's Lynn","Norfolk","PE33 0RN","Helen Bates Headteacher","01553 810274","EH0974024",,,,,,,,,,"100876R","Sch.Recyc",1100,1,"1100-11, CWTN-4","Fortnightly emptying- term time ( 20 empties per annum)","R3/WK1",,,,,,,01/09/05,
,,,,,,,,,,,,,,,,,,,,,150635,"Sch.Refuse",770,1,"770-5, CWTN-3","Term- time emptying (40 empties p.a.)","D1",,,,,,,01/04/09,
79,"Mings House Takeaway",,30,"Marshland Street","Terrington St. Clement","King's Lynn","Norfolk","PE34 4NZ",,"01553 827581","EH1039566",,,,,,,,,,998,"Refuse",360,2,"360-1, CWTN-1","One empty per week ","D4",,,,,,,01/12/07,
81,"Park House",,,,"Sandringham","King's Lynn","Norfolk","PE35 6EH",,"01485 543000","EH0950752",,,,,,,,,,1027,"Schd.2 Refuse",1100,2,"1100-1, CWTN-1","One empty per week",,,"D1",,,,,01/03/98,
,,,,,,,,,,,,,,,,,,,,,124125,"Schd.2 Rec",1100,1,"1100-12, CWTN-2","Fortnightly: except Xmas/New Year weeks",,,"R1/WK1",,,,,01/05/07,
84,"Mr P J Dennis","The Post Office",48,"Church Lane","Bircham","King's Lynn","Norfolk","PE31 6QW",,"01485 578203","EH1107979",,,,,,,,,,1001,"Refuse",240,1,"240-1, CWTN-1","One empty per week",,,,,"D1",,,,
,,,,,,,,,,,,,,,,,,,,,123054,"Recycling",240,1,"240-8, CWTN-2","Fortnightly: except Xmas/New Year weeks",,,,,"R1/WK1",,,01/04/07,
85,"Middleton Primary School",,,"School Road","Middleton","King's Lynn","Norfolk","PE32 1SA","MR G M STEEL - HEADTEACHER","01553 840234","EH0957130",,,,,,,,,,89217,"Sch.Refuse",770,2,"770-5, CWTN-3","Term- time emptying (40 empties p.a.) ",,"D3",,,,,,01/10/04,
,,,,,,,,,,,,,,,,,,,,,136781,"Sch.Recyc",660,1,"660-10,CWTN-4","Fortnightly emptying -term time (20 empties p.a.)",,"R5/WK2",,,,,,01/04/08,
,,,,,,,,,,,,,,,,,,,,,136781,"Sch.Recyc",360,2,"360-10","Fortnightly emptying -term time (20 empties p.a.)",,"R5/WK1",,,,,,01/04/08,
86,"Howard Infant & Nursery School",,,"Parkway","Gaywood","King's Lynn","Norfolk","PE30 4QJ","Ann De'ath Headteacher","01553 774587","EH0949071",,,,,,,,,,88265,"Sch.Refuse",770,1,"770-6, CWTN-3","Term -time emptying (40 empties p.a.)",,,,"T1",,,,01/09/04,
,,,,,,,,,,,,,,,,,,,,,88265,"Sch.Refuse",1100,1,"1100-6","Term -time emptying (40 empties p.a.)",,,,"T1",,,,01/09/04,
,,,,,,,,,,,,,,,,,,,,,88265,"Sch.Recyc",240,4,"240-10, CWTN -4","Fortnightly emptying term-time (20 empties p.a.)",,,,"R1/WK2",,,,01/09/04,
,,,,,,,,,,,,,,,,,,,,,93931,"Sch.Recyc",240,1,"240-10","Fortnightly emptying term - time (20 empties p.a.)",,,,"R1/WK2",,,,01/02/05,
,,,,,,,,,,,,,,,,,,,,,118688,"Sch.Recyc",660,1,"660-10","Fortnightly emptying term-time (20 empties p.a.)",,,,"R1/WK2",,,,15/11/06,
87,"Howard Junior School",,,"Parkway","Gaywood","King's Lynn","Norfolk","PE30 4QJ","Mrs G Robins- HEADTEACHER","01553 774511","EH0949062",,,,,,,,,,110000,"Sch.Refuse",1100,2,"1100-6, DISC-1,CWTN-3","Term-time emptying (40 empties p.a.) per bin",,,,"T1",,,,01/04/06,
,,,,,,,,,,,,,,,,,,,,,110000,"Sch.Recyc",660,2,"660-10, CWTN-4","Fortnightly emptying -term time (20 empties p.a.)",,,,"R1/WK2",,,,01/04/06,
,,,,,,,,,,,,,,,,,,,,,118701,"Sch.Recyc",660,1,"660-10","Fortnightly emptying - term time (20 empties p.a.)",,,,"R1/WK2",,,,15/11/06,
93,"The India Gate Restaurant",,41,"St. James Street",,"King's Lynn","Norfolk","PE30 5BZ","Mr Aktar Miah","01553 776489","EH2008972",,,,,,,,,,96927,"Refuse",1100,1,"1100-1,1100-2,CWTN-1","Two empties per week","T1",,,"T1",,,,18/04/05,
95,"Bay Trading",,"40/48","Guildford Street",,"Luton","Beds","LU1 2PB",,"01582 723131","EH1087559","Bay Trading",,47,"High Street",,"King's Lynn","Norfolk","PE30 1BE","01553 769198",123219,"Refuse",1100,1,"1100-1, 1100-2 x2, CWTN-1","Three empties per week","T1",,"T1",,"T1",,,01/04/07,
97,"N-Grave","Legion Hall",,"Magdalen Road","Tilney St. Lawrence","King's Lynn","Norfolk","PE34 4RE","AE & Susan Sapey","01945 881133","EH1091782",,,,,,,,,,954,"Refuse",1100,1,"1100-1,CWTN-1","26 empties: Fortnightly",,,"D7/WK2",,,,,01/09/97,30/05/09
107,"Thomas Estates Ltd",,"17A","Market Place",,"Loughborough","Leics","LE11 3EA",,,"EH0939756","Showboat",,"30/31","Purfleet Street",,"King's Lynn","Norfolk","PE30 1ER","01553 762094",956,"Refuse",770,1,"770-1, CWTN-1","One empty per week",,,"T1",,,,,01/09/97,
116,"Fandabby Daisy Ltd t/as Flower Corner",,49,"Norfolk Street",,"King's Lynn","Norfolk","PE30 1AG","Kate Shipp","01553 774544","EH2036729",,,,,,,,,,149332,"Refuse",770,1,"770-1,CWTN-1","One empty per week",,,"T1",,,,,08/12/08,
117,"A J's Garage",,,"Main Road","Terrington St. John","Wisbech","Cambs","PE14 7RR","Mr Andrew Groom","01945 881912","EH1091481",,,,,,,,,,942,"Refuse",770,1,"770-3,770-4 x 26, CWTN-1","26 empties : Fortnightly",,,,"D7/WK2",,,,01/07/97,
119,"MTL","Unit 6",,"Station Road","Terrington St. Clement","King's Lynn","Norfolk","PE34 4PL",,"01553 828903","EH0989190",,,,,,,,,,962,"Refuse",1100,1,"1100-1,CWTN-1","One empty per week","D4",,,,,,,01/08/97,
123,"Top Chef",,7,"Wootton Road",,"King's Lynn","Norfolk","PE30 4EZ","Ms  Changda Li","01553 772587","EH2016904",,,,,,,,,,110969,"Refuse",360,2,"360-1, 360-2, CWTN-1","Two empties per week","T1",,,"T1",,,,01/05/06,
129,"Artertons",,"112-114","High Street",,"King's Lynn","Norfolk","PE30 1DD","Mrs A Arterton","01553 776659","EH1086874",,,,,,,,,,898,"Refuse",1100,1,"1100-1, CWTN-1","One empty per week",,,"T1",,,,,01/04/97,
130,"The Cottage Cattery",,,"Mill Road","West Walton","Wisbech","Cambs","PE14 7EU","Steward McEwen","01945 780027","EH1078229",,,,,,,,,,123981,"Refuse",770,1,"770-3, 770-4 x 26, CWTN-1","26 empties: Fortnightly","D7/WK1",,,,,,,01/05/07,
133,"Footlights",,"Unit 2A","Bergen Way","North Lynn Industrial Estate","King's Lynn","Norfolk","PE30 2JG","Tina Rodgers","01553 771166","EH1098577",,,,,,,,,,967,"Refuse",360,1,"360-1, CWTN-1","One empty per week",,"T1",,,,,,01/10/97,
140,"Anglia Planters",,46,"Common Road","Wiggenhall St. Mary","King's Lynn","Norfolk","PE34 3EN","Andrew Turner","01553 617444","EH1009461",,,,,,,,,,395,"Refuse",1100,1,"1100-1, CWTN-1","One empty per week",,,,,"D7",,,01/04/97,
,,,,,,,,,,,,,,,,,,,,,130267,"Recycling",1100,1,"1100-9, CWTN-2","Fortnightly emptying: except Xmas & New Year weeks",,,,,"R4/WK2",,,01/10/07,
141,"G B Quality Foods",,"25A","High Street","Methwold","Thetford","Norfolk","IP26 4NT","MR G R BOYCE","01366 728512","EH1016483",,,,,,,,,,95493,"Refuse",660,1,"660-1, CWTN-1","One empty per week",,"D8",,,,,,01/05/05,
142,"Drs Millard & Partners","The Health Centre",,"Townley Close","Upwell","Wisbech","Cambs","PE14 9BT",,"01945 773671","EH1072456",,,,,,,,,,"381/381A","Refuse",1100,2,"1100-1, 1100-2, CWTN-1","One empty per week",,,,,"D9",,,"01/09/96 - 15/10/97",
149,"King's Lynn Press Ltd",,,"Austin Fields Trading Estate",,"King's Lynn","Norfolk","PE30 1PH",,"01553 773011","EH0934358",,,,,,,,,,542,"Refuse",770,1,"770-1, CWTN-1","One empty per week",,,"T1",,,,,01/04/95,
153,"KLFM Ltd",,18,"Blackfriars Street",,"King's Lynn","Norfolk","PE30 1NN",,"01553 772777","EH0953408",,,,,,,,,,138930,"Refuse",240,1,"240-1, CWTN-1","One empty per week",,,,"T1",,,,15/05/08,
155,"Perfect Choice",,11,"Blackfriars Street",,"King's Lynn","Norfolk","PE30 1NN","Mrs Diane Wilson","01553 760915","EH2024815",,,,,,,,,,150541,"Refuse",360,1,"360-3, 360-4 X 12, CWTN-1","12 empties p.a: One per month","T1",,,,,,,01/04/09,31/07/09
156,"AR & H R Bitson","Fish & Chip Shop",6,"Blackfriars Street",,"King's Lynn","Norfolk","PE30 1NN","A R & HR Bitson","01553 774760","EH1133573",,,,,,,,,,1113,"Refuse",1100,1,"1100-1, CWTN-1","One empty per week","T1",,,,,,,01/10/98,
157,"Borough Council of King's Lynn & West Norfolk","St James Swimming Pool",,"Blackfriars Street",,"King's Lynn","Norfolk","PE30 1NN",,"01553 764888","EH0937253",,,,,,,,,,122831,"Refuse",1100,1,"1100-1, 1100-2, CWTN-1","Two empties per week","T1",,,"T1",,,,01/04/07,
,,,,,,,,,,,,,,,,,,,,,122831,"Recycling",1100,1,"1100-10, 1100-13 x 25, CWTN-1","50 empties: Weekly except Xmas & New Year weeks","G3",,,,,,,01/04/07,
160,"Norfolk Learning Difficulties Services","King's Lynn Day Services",,"Bryggen Road","North Lynn Industrial Estate","King's Lynn","Norfolk","PE30 2HZ",,"01553 773449","EH929583",,,,,,,,,,110239,"Schd.2 Refuse",1100,2,"1100-1, CWTN-1","One empty per week",,"T1",,,,,,01/04/06,
164,"Dodman Ltd",,,"Hamburg Way","North Lynn Industrial Estate","King's Lynn","Norfolk","PE30 2ND",,"01553 774755","EH953143",,,,,,,,,,1467,"Refuse",1100,2,"1100-1, CWTN-1","One empty per week",,"T1",,,,,,15/12/00,11/09/09
,,,,,,,,,,,,,,,,,,,,,158406,"Refuse",1100,1,"1100-1, CWTN-1","One empty per week",,"T1",,,,,,11/09/09,
,,,,,,,,,,,,,,,,,,,,,158406,"Recycling",1100,1,"1100-9,1100-13 X 25, CWTN-2","50 empties: Weekly except Xmas & New Year weeks",,,,"G3/WK 1
R1/WK 2",,,,11/09/09,
166,"Souttar Services",,16,"Beulah Street",,"King's Lynn","Norfolk","PE30 4DN",,"01553 671124","EH0934455",,,,,,,,,,602,"Refuse",770,1,"770-1, CWTN-1","One empty per week",,"T1",,,,,,01/04/95,
172,"Central, South & West Norfolk Magistrates' Court","The Courthouse",,"College Lane",,"King's Lynn","Norfolk","PE30 1PQ",,"01553 770120","EH0982758",,,,,,,,,,126654,"Refuse",1100,1,"1100-1, 1100-4 x 26, CWTN-1","Three empties per fortnight","T1/WK2",,"T1/WK1",,"D5/WK2",,,15/07/07,
,,,,,,,,,,,,,,,,,,,,,126654,"Recycling",1100,1,"1100-9, CWTN-2","Fortnightly emptying; except  Xmas & New Year weeks","G3/WK2",,,,,,,15/07/07,
174,"Gaywood Community Centre","C/o Mrs J Deane",3,"Silver Green",,"King's Lynn","Norfolk","PE30 4SG","Mrs J Deane","01553 763638","EH0935185","Gaywood Community Centre",,,"Cemetery Drive",,"King's Lynn","Norfolk",,,101567,"Schd. 2 Refuse",1100,1,"1100-1, CWTN-1","One empty per week","T1",,,,,,,15/08/06,
178,"Golden Fish Bar",,1,"Centre Point","Fairstead Estate","King's Lynn","Norfolk","PE30 4SR","MR CLEMENS KIM LAI","01553 766519","EH0935200",,,,,,,,,,520,"Refuse",770,1,"770-1, CWTN-1","One empty per week","T1",,,,,,,01/04/95,
183,"Mr B S Khela","t/as Costcutter",2,"Columbia Way","North Lynn","King's Lynn","Norfolk","PE30 2LA","Mr B S Khela","01553 770557","EH0957343",,,,,,,,,,136578,"Refuse",1100,1,"1100-1,CWTN-1","One empty per week","T1",,,,,,,02/05/08,
,,,,,,,,,,,,,,,,,,,,,136578,"Recycling",1100,1,"1100-9, CWTN-2","Fortnightly emptying: except Xmas & New Year weeks",,,,,"R6/WK2",,,02/05/08,
184,"Mr P s Bisla","t/as Grange Stores",32,"Dawnay Avenue",,"King's Lynn","Norfolk","PE30 3BZ","Mr Bisla","01553 672978","EH2026804",,,,,,,,,,142027,"Refuse",1100,1,"1100-1,CWTN-1","One empty per week",,"T1",,,,,,01/08/08,
188,"Omex Agriculture Ltd",,,"Bardney Airfield","Tupholme","Lincoln",,"LN3 5TP",,"01526 398661","EH0935325","Omex Agriculture Ltd",,,"Estuary Road",,"King's Lynn","Norfolk","PE30 2HH","01553 760011",1338,"Refuse",1100,1,"1100-1, CWTN-1","One empty per week",,"T1",,,,,,01/03/00,
189,"Pace Fuelcare Ltd",,,"Estuary Road",,"King's Lynn","Norfolk","PE30 2HH",,"01553 614844","EH0935334",,,,,,,,,,110058,"Refuse",1100,1,"1100-1,CWTN-1","One empty per week",,"T1",,,,,,01/04/06,
191,"Ouse Amateur Sailing Club",,,"Ferry Lane",,"King's Lynn","Norfolk","PE30 1HN",,,"EH0935343",,,,,,,,,,569,"Refuse",770,1,"770-1, CWTN-1","One empty per week",,,"T1",,,,,01/04/95,
196,"Norfolk County Council  (Social Services)","Greyfriars House",,"Birch Tree Close",,"King's Lynn","Norfolk","PE30 5SS",,"01553 669300","EH2001067",,,,,,,,,,150836,"Refuse",1100,1,"1100-1, CWTN-1","One empty per week",,,"T1",,,,,01/04/09,
,,,,,,,,,,,,,,,,,,,,,150836,"Recycling",1100,1,"1100-9, CWTN-2","50 empties: Weekly except Xmas & New Year weeks","G3",,,,,,,01/04/09,
200,"Gaywood Church Rooms","C/O Mr G Lillie, Edelweiss",,"Station Road","Hillington","King's Lynn","Norfolk","PE31 6DE",,"01485 600615","EH0935495","Gaywood Church Rooms",,,"Gayton Road",,"King's Lynn","Norfolk","PE30 4DZ",,106065,"Schd. 2 Refuse",1100,1,"1100-1, CWTN-1","One empty per week","T1",,,,,,,01/12/05,
201,"East  Of England  Ambulance NHS Trust","Ambulance Headquarters",,"Hospital Lane","Hellesdon","Norwich","Norfolk","NR6 5NA",,"01603 424255","EH0967640","Ambulance Station","Holdings Lane",,"Gayton Road",,"King's Lynn","Norfolk","PE30 4EU",,91252,"Refuse",1100,1,"1100-1, CWTN-1","One empty per week","T1",,,,,,,15/11/04,
204,"Norfolk county Council (Social Services)","Lisbon Court",,"Galyon Road",,"King's Lynn","Norfolk","PE30 EFB",,"01553 679400","EH0947365",,,,,,,,,,611,"Schd.2 Refuse",770,2,"770-1, CWTN-1","One empty per week",,"T1",,,,,,01/04/95,
205,"Russet House Hotel",,53,"Goodwins Road",,"King's Lynn","Norfolk","PE30 5PE","Mr P Philippou","01553 773098","EH2005326",,,,,,,,,,1477,"Refuse",770,1,"770 -1, CWTN-1","One empty per week","T1",,,,,,,01/10/00,
214,"Zenith Staybright Ltd","Weatherseal House",,"Road 1","Winsford Industrial Estate","Winsford",,"CW7 3PZ",,"01606 866500","EH2029411","Zenith Satybright Ltd",,"Unit 10 North Lynn Businnes Village","Bergen Way",,"King's Lynn","Norfolk","PE30 2JG","01553 766863",140526,"Refuse",770,1,"770-1, CWTN-1","One empty per week",,"T1",,,,,,01/04/08,
215,"RJM Dental Laboratory",,,"Hereford Way","Hardwick Narrows","King's Lynn","Norfolk","PE30 4JD",,"01553 769101","EH1022216",,,,,,,,,,325,"Refuse",240,1,"240-3, 240-4 X 26, CWTN-1","26 empties: Fortnightly","T1/WK2",,,,,,,01/07/94,
217,"Abbotts Countrywide","Finance Centre",1,"Nelson Mews",,"Southend on Sea","Essex","SS1 1AL",,"01702 333123","EH1006955","Abbotts",,20,"High Street",,"King's Lynn","Norfolk","PE30 1DA","01553 765146",134363,"Refuse","770L",1,"770-1, CWTN-1","One empty per week",,,,"T1",,,,17/01/08,
,,,,,,,,,,,,,,,,,,,,,134363,"Recycling",240,1,"240-8, CWTN-2","Fortnightly: except Xmas/New Year weeks","G3/WK2",,,,,,,17/01/08,
229,"Farr Formes Ltd",,"15/16","Bryggen Road","North Lynn Industrial Estate","King's Lynn","Norfolk","PE30 2HZ",,"01553 762705","EH0936709",,,,,,,,,,150627,"Refuse",1100,1,"1100-1, CWTN-1","One empty per week",,"T1",,,,,,01/04/09,
,,,,,,,,,,,,,,,,,,,,,150627,"Recycling",1100,1,"1100-9, CWTN-2","Fortnightly: except Xmas/New Year weeks",,,,"R1/WK2",,,,01/04/09,
231,"Lawtronic Ltd",,,"Hamlin Way","Hardwick Narrows","King's Lynn","Norfolk","PE30 4NG",,"01553 765247","EH0936684",,,,,,,,,,110538,"Refuse",1100,1,"1100-1, 1100-2, CWTN-1","Two empties per week","T1",,,"T1",,,,01/04/06,
234,"Hardwick Road Garage",,4,"Hardwick Road",,"King's Lynn","Norfolk","PE30 4NA",,"01553 773321","EH0936754",,,,,,,,,,358,"Refuse",770,1,"770-1, CWTN-1","One empty per week",,"T1",,,,,,01/04/87,
240,"Dolland & Aitchison",,80,"High Street",,"King's Lynn","Norfolk","PE30 1BB","Mr N Searle","01553 767999","EH0942073",,,,,,,,,,136322,"Recycling",660,1,"660-8, CWTN-2","Fortnightly: except Xmas/New Year weeks","G3/WK2",,,,,,,01/04/08,
256,"Robson Associates","on behalf of Pruta Property Ltd","Cavendish House","Waterloo Street",,"Birmingham",,"B2 5PP","Tracy Johnson","01216 322982","EH2023802",,"Chequer House",10/12/09,"King Street",,"King's Lynn","Norfolk","PE30 1ES",,123095,"Refuse",1100,3,"1100-1, CWTN-1","One empty per week",,,"T1",,,,,01/04/07,
258,"Norfolk Fire & Rescue Service","Headquarters",,,"Hethersett","Norwich","Norfolk","NR9 3DN",,,"EH0967923","Fire Station",,,"Kilhams Way",,"King's Lynn","Norfolk","PE30 2HU","01553 775163",135316,"Refuse",1100,1,"1100-1, CWTN-1","One empty per week",,"T1",,,,,,01/03/08,
,,,,,,,,,,,,,,,,,,,,,145478,"Recycling",1100,1,"1100-9, CWTN-2","50 empties: Weekly except Xmas & New Year weeks","G3",,,,,,,01/11/08,
259,"Stephenson Smart",,"22-26","King Street",,"King's Lynn","Norfolk","PE30 1HJ","Ted Wilkinson","01553 774104","EH0938248",,,,,,,,,,96157,"Refuse",1100,1,"1100-1, CWTN-1","One empty per week",,,"T1",,,,,01/04/05,
,,,,,,,,,,,,,,,,,,,,,139633,"Recycling",660,1,"660-8, CWTN-2","Fortnightly: except Xmas/New Year weeks","G3/WK2",,,,,,,15/06/08,
261,"Favorit Motor Co",,16,"London Road",,"King's Lynn","Norfolk","PE30 5PY",,"01553 775620","EH0995491",,,,,,,,,,44,"Refuse",360,1,"360-1, CWTN-1","One empty per week",,,"T1",,,,,01/04/94,
263,"Gaunock Hotel Ltd",,10/11/09,"Gaunock Place",,"King's Lynn","Norfolk","PE30 5JG",,"01553 772959","EH1003209",,,,,,,,,,72,"Refuse",360,1,"360-1, CWTN-1","One empty per week",,,"T1",,,,,01/04/94,
267,"Planet Spuds",,121,"London Road",,"King's Lynn","Norfolk","PE30 5ES",,"01553 773221","EH1047537",,,,,,,,,,118385,"Refuse",770,1,"770-1, CWTN-1","One empty per week",,"T1",,,,,,01/04/06,
269,"Smiths the Bakers (King's Lynn) Ltd",,50,"London Road",,"King's Lynn","Norfolk","PE30 5QH",,"01553 692993","EH1003245",,,,,,,,,,137523,"Recycling",1100,1,"1100-9, CWTN-2","50 empties: Weekly except Xmas & New Year weeks","G3",,,,,,,01/05/08,
,,,,,,,,,,,,,,,,,,,,,142450,"Refuse",770,1,"770-1, CWTN-1","One empty per week","T1",,,,,,,08/08/08,
273,"Integrated Nursing Homes Ltd",,"First Floor","36 Windsor Street",,"Uxbridge","Middlesex","UB8 1AD","John Rales Financial Controller","01895 454754","EH2030435","Eastgate House ",,17,"Littleport Street",,"King's Lynn",,"Norfolk","01553 691054",138294,"Schd.2 Refuse",770,2,"770-1, CWTN-1","One empty per week","T1",,,,,,,01/05/08,
276,"King's Lynn Conservative Club Ltd",,12,"London Road",,"King's Lynn","Norfolk","PE30 5PY",,"01553 773230","EH0938372",,,,,,,,,,539,"Refuse",770,1,"770-1, CWTN-1","One empty per week",,,"T1",,,,,01/04/95,
,,,,,,,,,,,,,,,,,,,,,147198,"Glass",770,1,"770G-1, CWTN-5","One empty per week","G3",,,,,,,01/12/08,
277,"London Road Veterinary Clinic",,25,"London Road",,"King's Lynn","Norfolk","PE30 5QA",,"01553 773168","EH0938381",,,,,,,,,,141807,"Refuse",1100,1,"1100-1, CWTN-1","One empty per week",,,"T1",,,,,01/08/08,
,,,,,,,,,,,,,,,,,,,,,141807,"Recycling",1100,1,"1100-9, CWTN-2","50 empties: Weekly except Xmas & New Year weeks","G3",,,,,,,01/08/08,
278,"Lynn Enterprises Ltd","t/as Feeney Newsagents",45,"Lynn Road","Gaywood","King's Lynn","Norfolk","PE30 4PP","Mr B Srikantha","01553 774685","EH2024901",,,,,,,,,,124425,"Refuse",770,1,"770-1, CWTN-1","One empty per week","T1",,,,,,,28/04/07,
280,"Lowes House Takeaway",,59,"Lynn Road","Gaywood","King's Lynn","Norfolk","PE30 4PR","Mr Yee Chim","01553 773179","EH0938682",,,,,,,,,,95011,"Refuse",770,1,"770-1, 770-2, CWTN-1","Two empties per week","T1",,,"T1",,,,23/02/05,
281,"Denny's Fish & Chips",,31,"Lynn Road","Gaywood","King's Lynn","Norfolk","PE30 4PR","Mr D Chan","01553 774684","EH0938646",,,,,,,,,,110145,"Refuse",1100,1,"1100-1, CWTN-1","One empty per week","T1",,,,,,,01/04/06,
